# 한글 단음절 선언 — 사람이 유지하는 유일한 한글 파일.
#
# **한글과 부류만 적는다. 라틴 키열을 절대 적지 않는다.**
# 키열은 동결 매핑(KeycodeToJamoMap)의 투영이므로 make_mono_lexicon.py가 계산한다.
# 키열을 직접 적을 수 있으면 영어사전·CLI·로케일 게이트를 우회해 항목을 밀어 넣을
# 수 있다. 빈도·가치 판단도 여기 적지 않는다. 여기서 답하는 질문은 하나뿐이다:
# "이 단음절이 이 부류의 구성원인가."
#
# T1 = 문법적 폐쇄류. 표준 문법서가 열거를 마감하므로 **정지 조건이 있다.**
# T2 = 유한 열거 부류. 감탄사·부사·용언활용형은 닫혀 있지 **않다.** 폐쇄류인 척하지
#      않고 격리해 상한으로 통제한다(verify 불변식 8: T2 총합 ≤ 60).
#
# 부류를 키우려면 아래 #bound 숫자를 고쳐야 하고, 그 한 줄 diff가 리뷰 트리거가 된다.
# 이것이 허용목록이 손 목록으로 전락하지 않게 하는 정지 조건이다.
#
# 선언했다고 자산에 들어가는 것이 아니다. 영어 사전·Apple 명령어·로케일 코드·거부
# 원장 네 게이트를 통과해야 하고, 통과하지 못한 항목은 `generate`가 사유와 함께
# 보고한다. 거부가 항상 이긴다 — 그 확정 비용(영구히 포기하는 한글)은
# MONOSYLLABLE_CORRECTION.md에 기록돼 있다.
#
#bound 조사 24
#bound 대명사 12
#bound 의존명사 28
#bound 수관형사 10
#bound 감탄사 30
#bound 부사 22
#bound 용언활용 6
조사	가
조사	로
조사	를
조사	요
조사	을
조사	은
조사	는
조사	와
조사	과
조사	랑
조사	만
조사	들
조사	든
조사	뿐
조사	께
조사	서
조사	도
조사	의
조사	이
조사	에
조사	나
조사	야
조사	여
조사	아
대명사	나
대명사	너
대명사	저
대명사	제
대명사	얘
대명사	걔
대명사	쟤
대명사	네
대명사	넌
대명사	난
대명사	그
대명사	뭐
의존명사	것
의존명사	수
의존명사	번
의존명사	분
의존명사	곳
의존명사	일
의존명사	등
의존명사	듯
의존명사	살
의존명사	장
의존명사	잔
의존명사	중
의존명사	줄
의존명사	쪽
의존명사	편
의존명사	원
의존명사	월
의존명사	권
의존명사	때
의존명사	대
의존명사	척
의존명사	명
의존명사	개
의존명사	년
의존명사	님
의존명사	놈
의존명사	초
의존명사	시
수관형사	한
수관형사	두
수관형사	세
수관형사	반
수관형사	백
수관형사	천
수관형사	열
수관형사	딴
수관형사	각
수관형사	몇
감탄사	아
감탄사	어
감탄사	오
감탄사	우
감탄사	예
감탄사	응
감탄사	앗
감탄사	헐
감탄사	헉
감탄사	넹
감탄사	넵
감탄사	참
감탄사	와
감탄사	음
감탄사	흠
감탄사	야
감탄사	자
감탄사	하
감탄사	헤
감탄사	호
감탄사	후
감탄사	억
감탄사	악
감탄사	윽
감탄사	엥
감탄사	흑
감탄사	쳇
감탄사	네
감탄사	얍
감탄사	짠
부사	다
부사	더
부사	잘
부사	안
부사	늘
부사	꼭
부사	확
부사	꽉
부사	곧
부사	좀
부사	꽤
부사	막
부사	덜
부사	딱
부사	넘
부사	왜
부사	참
부사	또
부사	못
부사	쭉
부사	푹
부사	툭
용언활용	해
용언활용	가
용언활용	봐
용언활용	줘
용언활용	돼
용언활용	와
